category,subcategory,name,brand,unit,min_stock_alert,barcode
خواربار,روغن,روغن جامد ۴ کیلویی,,عدد,0,
خواربار,قند و شکر,قند شکسته ۵ کیلویی,,عدد,0,
خواربار,قند و شکر,شکر ۹۰۰ گرمی,,عدد,0,
خواربار,قند و شکر,نبات زعفرانی ۴۰۰ گرمی,,عدد,0,
خواربار,ماکارونی و آرد,ماکارونی رشته‌ای ۷۰۰ گرمی,,عدد,0,
خواربار,ماکارونی و آرد,ماکارونی فرمی ۵۰۰ گرمی,,عدد,0,
خواربار,ماکارونی و آرد,رشته آش ۵۰۰ گرمی,,عدد,0,
خواربار,ماکارونی و آرد,آرد سفید ۹۰۰ گرمی,,عدد,0,
خواربار,ماکارونی و آرد,آرد سوخاری ۲۰۰ گرمی,,عدد,0,
خواربار,کنسرو و رب,رب گوجه‌فرنگی ۸۰۰ گرمی,,عدد,0,
خواربار,کنسرو و رب,کنسرو تن ماهی ۱۸۰ گرمی,,عدد,0,
خواربار,کنسرو و رب,کنسرو لوبیا چیتی ۳۸۰ گرمی,,عدد,0,
خواربار,کنسرو و رب,کنسرو ذرت ۳۸۰ گرمی,,عدد,0,
خواربار,کنسرو و رب,کنسرو نخود سبز ۳۸۰ گرمی,,عدد,0,
خواربار,کنسرو و رب,کمپوت آناناس ۵۶۵ گرمی,,عدد,0,
خواربار,چاشنی,نمک تصفیه‌شده ۱ کیلویی,,عدد,0,
خواربار,چاشنی,فلفل سیاه ۱۰۰ گرمی,,عدد,0,
خواربار,چاشنی,زردچوبه ۱۰۰ گرمی,,عدد,0,
خواربار,چاشنی,زعفران ۱ گرمی,,عدد,0,
خواربار,چاشنی,سرکه سفید ۱ لیتری,,عدد,0,
خواربار,چاشنی,آبلیمو ۱ لیتری,,عدد,0,
خواربار,چاشنی,سس مایونز ۴۵۰ گرمی,,عدد,0,
خواربار,چاشنی,سس کچاپ ۴۰۰ گرمی,,عدد,0,
خواربار,چاشنی,سس فرانسوی ۴۵۰ گرمی,,عدد,0,
خواربار,چاشنی,خیارشور ۱.۵ کیلویی,,عدد,0,
خواربار,چاشنی,ترشی مخلوط ۶۵۰ گرمی,,عدد,0,
خواربار,چاشنی,زیتون شور ۶۵۰ گرمی,,عدد,0,
نان و شیرینی,نان,نان تست ۴۵۰ گرمی,,عدد,0,
نان و شیرینی,نان,نان باگت,,عدد,0,
نان و شیرینی,نان,نان لواش بسته‌ای,,عدد,0,
نان و شیرینی,نان,نان همبرگر ۴ عددی,,عدد,0,
نان و شیرینی,کیک و بیسکویت,کیک کاکائویی ۱۰۰ گرمی,,عدد,0,
نان و شیرینی,کیک و بیسکویت,کیک وانیلی ۱۰۰ گرمی,,عدد,0,
نان و شیرینی,کیک و بیسکویت,بیسکویت ساقه طلایی ۲۰۰ گرمی,,عدد,0,
نان و شیرینی,کیک و بیسکویت,بیسکویت پتی‌بور ۱۲۵ گرمی,,عدد,0,
نان و شیرینی,کیک و بیسکویت,ویفر کاکائویی ۴۰ گرمی,,عدد,0,
نان و شیرینی,کیک و بیسکویت,کلوچه نارگیلی,,عدد,0,
نان و شیرینی,کیک و بیسکویت,نان خامه‌ای,,عدد,0,
تنقلات,چیپس و پفک,چیپس سیب‌زمینی ساده ۱۲۰ گرمی,,عدد,0,
تنقلات,چیپس و پفک,چیپس کچاپ ۱۲۰ گرمی,,عدد,0,
تنقلات,چیپس و پفک,پفک نمکی ۶۰ گرمی,,عدد,0,
تنقلات,چیپس و پفک,پاپ‌کورن پنیری ۹۰ گرمی,,عدد,0,
تنقلات,چیپس و پفک,اسنک پنیری ۸۰ گرمی,,عدد,0,
تنقلات,شکلات و آدامس,شکلات تخته‌ای شیری ۱۰۰ گرمی,,عدد,0,
تنقلات,شکلات و آدامس,شکلات تلخ ۷۲٪ ۱۰۰ گرمی,,عدد,0,
تنقلات,شکلات و آدامس,آدامس نعنایی ۱۴ عددی,,عدد,0,
تنقلات,شکلات و آدامس,آبنبات میوه‌ای ۱ کیلویی,,عدد,0,
تنقلات,شکلات و آدامس,تافی ۱ کیلویی,,عدد,0,
تنقلات,شکلات و آدامس,پاستیل خرسی ۱۰۰ گرمی,,عدد,0,
تنقلات,آجیل و خشکبار,تخمه آفتابگردان,,کیلوگرم,0,
تنقلات,آجیل و خشکبار,پسته احمدآقایی,,کیلوگرم,0,
تنقلات,آجیل و خشکبار,بادام زمینی,,کیلوگرم,0,
تنقلات,آجیل و خشکبار,کشمش,,کیلوگرم,0,
تنقلات,آجیل و خشکبار,خرما مضافتی,,کیلوگرم,0,
تنقلات,آجیل و خشکبار,توت خشک,,کیلوگرم,0,
پروتئین,گوشت و مرغ,گوشت گوساله,,کیلوگرم,0,
پروتئین,گوشت و مرغ,گوشت گوسفندی,,کیلوگرم,0,
پروتئین,گوشت و مرغ,مرغ کامل,,کیلوگرم,0,
پروتئین,گوشت و مرغ,ران مرغ,,کیلوگرم,0,
پروتئین,گوشت و مرغ,سینه مرغ,,کیلوگرم,0,
پروتئین,گوشت و مرغ,فیله ماهی قزل‌آلا,,کیلوگرم,0,
پروتئین,فرآورده‌های گوشتی,سوسیس آلمانی ۵۰۰ گرمی,,عدد,0,
پروتئین,فرآورده‌های گوشتی,کالباس مرغ ۳۰۰ گرمی,,عدد,0,
پروتئین,فرآورده‌های گوشتی,همبرگر ۳۰٪ (۵ عددی),,عدد,0,
پروتئین,فرآورده‌های گوشتی,ناگت مرغ ۴۵۰ گرمی,,عدد,0,
پروتئین,فرآورده‌های گوشتی,تخم‌مرغ ۲۰ عددی,,عدد,0,
پروتئین,فرآورده‌های گوشتی,تخم‌مرغ ۶ عددی,,عدد,0,
میوه و سبزیجات,میوه,سیب قرمز,,کیلوگرم,0,
میوه و سبزیجات,میوه,سیب زرد,,کیلوگرم,0,
میوه و سبزیجات,میوه,موز,,کیلوگرم,0,
میوه و سبزیجات,میوه,پرتقال,,کیلوگرم,0,
میوه و سبزیجات,میوه,نارنگی,,کیلوگرم,0,
میوه و سبزیجات,میوه,انگور,,کیلوگرم,0,
میوه و سبزیجات,میوه,هندوانه,,کیلوگرم,0,
میوه و سبزیجات,میوه,خربزه,,کیلوگرم,0,
میوه و سبزیجات,میوه,خیار,,کیلوگرم,0,
میوه و سبزیجات,میوه,گوجه‌فرنگی,,کیلوگرم,0,
میوه و سبزیجات,سبزیجات,سیب‌زمینی,,کیلوگرم,0,
میوه و سبزیجات,سبزیجات,پیاز,,کیلوگرم,0,
میوه و سبزیجات,سبزیجات,هویج,,کیلوگرم,0,
میوه و سبزیجات,سبزیجات,کاهو,,کیلوگرم,0,
میوه و سبزیجات,سبزیجات,کدو سبز,,کیلوگرم,0,
میوه و سبزیجات,سبزیجات,بادمجان,,کیلوگرم,0,
میوه و سبزیجات,سبزیجات,فلفل دلمه‌ای,,کیلوگرم,0,
میوه و سبزیجات,سبزیجات,سیر,,کیلوگرم,0,
میوه و سبزیجات,سبزیجات آماده,سبزی خوردن بسته‌ای,,عدد,0,
میوه و سبزیجات,سبزیجات آماده,سبزی قورمه سرخ‌شده ۵۰۰ گرمی,,عدد,0,
میوه و سبزیجات,سبزیجات آماده,سبزی آش سرخ‌شده ۵۰۰ گرمی,,عدد,0,
منجمد,محصولات منجمد,سیب‌زمینی نیمه‌آماده ۹۰۰ گرمی,,عدد,0,
منجمد,محصولات منجمد,سبزیجات مخلوط منجمد ۴۰۰ گرمی,,عدد,0,
منجمد,محصولات منجمد,بستنی وانیلی ۱ لیتری,,عدد,0,
منجمد,محصولات منجمد,بستنی قیفی,,عدد,0,
منجمد,محصولات منجمد,بستنی چوبی شکلاتی,,عدد,0,
منجمد,محصولات منجمد,پیتزا نیمه‌آماده,,عدد,0,
شوینده و بهداشتی,شوینده,مایع ظرفشویی ۱ لیتری,,عدد,0,
شوینده و بهداشتی,شوینده,مایع ظرفشویی ۳.۷۵ لیتری,,عدد,0,
شوینده و بهداشتی,شوینده,پودر لباسشویی دستی ۵۰۰ گرمی,,عدد,0,
شوینده و بهداشتی,شوینده,پودر ماشین لباسشویی ۲ کیلویی,,عدد,0,
شوینده و بهداشتی,شوینده,مایع لباسشویی ۲ لیتری,,عدد,0,
شوینده و بهداشتی,شوینده,سفیدکننده ۱ لیتری,,عدد,0,
شوینده و بهداشتی,شوینده,جرم‌گیر ۱ لیتری,,عدد,0,
شوینده و بهداشتی,شوینده,شیشه‌پاک‌کن ۵۰۰ میلی‌لیتری,,عدد,0,
شوینده و بهداشتی,شوینده,مایع دستشویی ۵۰۰ میلی‌لیتری,,عدد,0,
شوینده و بهداشتی,شوینده,اسکاچ ظرفشویی,,عدد,0,
شوینده و بهداشتی,شوینده,سیم ظرفشویی,,عدد,0,
شوینده و بهداشتی,شوینده,کیسه زباله رول,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,شامپو سر ۴۰۰ میلی‌لیتری,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,شامپو بدن ۴۰۰ میلی‌لیتری,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,صابون حمام ۱۲۵ گرمی,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,خمیردندان ۱۰۰ میلی‌لیتری,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,مسواک,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,دستمال کاغذی ۳۰۰ برگ,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,دستمال توالت ۴ رول,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,دستمال مرطوب ۷۰ عددی,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,نوار بهداشتی,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,پوشک بچه سایز ۴,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,تیغ اصلاح یک‌بارمصرف,,عدد,0,
شوینده و بهداشتی,بهداشت فردی,کرم مرطوب‌کننده ۲۰۰ میلی‌لیتری,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,فویل آلومینیومی,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,سلفون ۳۰ متری,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,لیوان یک‌بارمصرف ۵۰ عددی,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,بشقاب یک‌بارمصرف ۲۵ عددی,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,کبریت,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,فندک,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,شمع,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,باتری قلمی ۴ عددی,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,باتری نیم‌قلمی ۴ عددی,,عدد,0,
لوازم خانگی مصرفی,لوازم مصرفی,لامپ LED ۱۲ وات,,عدد,0,
صبحانه,صبحانه,عسل ۵۰۰ گرمی,,عدد,0,
صبحانه,صبحانه,مربای هویج ۳۰۰ گرمی,,عدد,0,
صبحانه,صبحانه,مربای آلبالو ۳۰۰ گرمی,,عدد,0,
صبحانه,صبحانه,حلوا شکری ۲۵۰ گرمی,,عدد,0,
صبحانه,صبحانه,ارده ۴۰۰ گرمی,,عدد,0,
صبحانه,صبحانه,کره بادام‌زمینی ۳۵۰ گرمی,,عدد,0,
صبحانه,صبحانه,شکلات صبحانه ۳۵۰ گرمی,,عدد,0,
صبحانه,صبحانه,کورن‌فلکس ۳۰۰ گرمی,,عدد,0,
صبحانه,صبحانه,غلات صبحانه عسلی ۳۷۵ گرمی,,عدد,0,
مادر و کودک,غذای کودک,شیرخشک شماره ۱,,عدد,0,
مادر و کودک,غذای کودک,شیرخشک شماره ۲,,عدد,0,
مادر و کودک,غذای کودک,سرلاک گندم ۴۰۰ گرمی,,عدد,0,
مادر و کودک,غذای کودک,پوره میوه کودک,,عدد,0,
فروش وزنی,کالای فله,برنج فله,,کیلوگرم,0,
فروش وزنی,کالای فله,شکر فله,,کیلوگرم,0,
فروش وزنی,کالای فله,آجیل مخلوط فله,,کیلوگرم,0,
فروش وزنی,کالای فله,حبوبات فله,,کیلوگرم,0,
فروش وزنی,کالای فله,سبزی تازه فله,,کیلوگرم,0,
