category,subcategory,name,brand,unit,min_stock_alert,barcode
لوازم خانگی مصرفی,لوازم مصرفی,کبریت,,عدد,0,2099000001689
لوازم خانگی مصرفی,لوازم مصرفی,فندک,,عدد,0,2099000001696
لوازم خانگی مصرفی,لوازم مصرفی,شمع,,عدد,0,2099000001702
لوازم خانگی مصرفی,لوازم مصرفی,باتری قلمی ۴ عددی,,عدد,0,2099000001719
لوازم خانگی مصرفی,لوازم مصرفی,باتری نیم‌قلمی ۴ عددی,,عدد,0,2099000001726
لوازم خانگی مصرفی,لوازم مصرفی,لامپ LED ۱۲ وات,,عدد,0,2099000001733
صبحانه,صبحانه,عسل ۵۰۰ گرمی,,عدد,0,2099000001740
صبحانه,صبحانه,مربای هویج ۳۰۰ گرمی,,عدد,0,2099000001757
صبحانه,صبحانه,مربای آلبالو ۳۰۰ گرمی,,عدد,0,2099000001764
صبحانه,صبحانه,حلوا شکری ۲۵۰ گرمی,,عدد,0,2099000001771
صبحانه,صبحانه,ارده ۴۰۰ گرمی,,عدد,0,2099000001788
صبحانه,صبحانه,کره بادام‌زمینی ۳۵۰ گرمی,,عدد,0,2099000001795
صبحانه,صبحانه,شکلات صبحانه ۳۵۰ گرمی,,عدد,0,2099000001801
صبحانه,صبحانه,کورن‌فلکس ۳۰۰ گرمی,,عدد,0,2099000001818
صبحانه,صبحانه,غلات صبحانه عسلی ۳۷۵ گرمی,,عدد,0,2099000001825
مادر و کودک,غذای کودک,شیرخشک شماره ۱,,عدد,0,2099000001832
مادر و کودک,غذای کودک,شیرخشک شماره ۲,,عدد,0,2099000001849
مادر و کودک,غذای کودک,سرلاک گندم ۴۰۰ گرمی,,عدد,0,2099000001856
مادر و کودک,غذای کودک,پوره میوه کودک,,عدد,0,2099000001863
فروش وزنی,کالای فله,برنج فله,,کیلوگرم,0,2099000001870
فروش وزنی,کالای فله,شکر فله,,کیلوگرم,0,2099000001887
فروش وزنی,کالای فله,آجیل مخلوط فله,,کیلوگرم,0,2099000001894
فروش وزنی,کالای فله,حبوبات فله,,کیلوگرم,0,2099000001900
فروش وزنی,کالای فله,سبزی تازه فله,,کیلوگرم,0,2099000001917
